,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_lh,polar_wtt,polar_shg,polar_nn
624,624,624,624,624,2021年10月14日12时58分00秒,66.87477111816406,1499.0819091796875,-9999,-9999,1.2510710954666138,60.66838073730469,1.024556279182434,82.40911102294922,79.91185760498047,15.175663948059082,14.946137428283691,0.7251805663108826,0.1615864783525467,120.30847930908205,120.0146942138672,21.59383010864257,23.06279754638672,18.655895233154297,20.12486267089844,326.6250305175781,60.08079528808594,-75.43640899658203,0.0,-9999,-9999,-9999,1.9669050328871784,1499.0819091796875,3527.2515510110293,1.024556279182434,60.66838073730469,79.91185760498047,82.40911102294922,81.16048431396484,1.2510710954666138,1.2510710954666138,1.468994140625,3.4564568014705883,-0.001440160414752,-0.1469001770019531,0.7251805663108826,0.1615864783525467,1.9869531752050014,1.9668792692913006,1.9702005228880854,1.9675179719924927
625,625,625,625,625,2021年10月14日12时58分20秒,66.8258056640625,1499.81640625,-9999,-9999,1.2498469352722168,60.66838073730469,1.0284734964370728,82.11531066894531,80.49945068359375,15.290428161621094,14.907883644104004,0.7276288270950317,0.1615864783525467,120.7491683959961,120.30847930908205,21.300037384033203,23.06279754638672,18.50899887084961,20.12486267089844,330.7381591796875,60.22768783569336,-75.63227081298828,0.0,-9999,-9999,-9999,1.9654648724724264,1499.81640625,3528.979779411765,1.0284734964370728,60.66838073730469,80.49945068359375,82.11531066894531,81.30738067626953,1.2498469352722168,1.2498469352722168,0.7344970703125,1.7282284007352942,-0.0014401604147518,0.1468963623046875,0.7276288270950317,0.1615864783525467,1.9869274434924256,1.9663606558011102,1.969709551279883,1.9673857688903809
626,626,626,626,626,2021年10月14日12时58分40秒,66.92373657226562,1499.81640625,-9999,-9999,1.2522952556610107,60.815277099609375,1.0225976705551147,82.11531066894531,79.91185760498047,15.271300315856934,15.003520011901855,0.7295874357223511,0.1615864783525467,121.04296875,120.6022720336914,21.300037384033203,22.769004821777344,18.50899887084961,20.12486267089844,333.2353820800781,60.521484375,-75.63227081298828,0.0,-9999,-9999,-9999,1.9683451933019305,1499.81640625,3528.979779411765,1.0225976705551147,60.815277099609375,79.91185760498047,82.11531066894531,81.01358413696289,1.2522952556610107,1.2522952556610107,0.0,0.0,0.0028803208295038,-0.2937965393066406,0.7295874357223511,0.1615864783525467,1.9872208932746864,1.967744556599098,1.970745718819455,1.9673056602478027
627,627,627,627,627,2021年10月14日12时59分00秒,66.87477111816406,1497.6129150390625,-9999,-9999,1.2510710954666138,60.815277099609375,1.0131962299346924,82.40911102294922,80.20565795898438,15.175663948059082,15.23304557800293,0.7251805663108826,0.1615864783525467,121.33676147460938,120.6022720336914,21.300037384033203,23.06279754638672,18.655895233154297,20.41865539550781,335.1450500488281,60.521484375,-75.59309387207031,0.0,-9999,-9999,-9999,1.9669050328871784,1497.6129150390625,3523.795094209559,1.0131962299346924,60.815277099609375,80.20565795898438,82.40911102294922,81.3073844909668,1.2510710954666138,1.2510710954666138,-2.2034912109375,-5.184685202205882,-0.001440160414752,0.2938003540039062,0.7251805663108826,0.1615864783525467,1.9865668762889213,1.9658394520845608,1.968999860838593,1.9663589000701904
628,628,628,628,628,2021年10月14日12时59分20秒,66.87477111816406,1499.81640625,-9999,-9999,1.2510710954666138,60.815277099609375,1.0128045082092283,82.11531066894531,79.76496124267578,15.175663948059082,15.290428161621094,0.7237116098403931,0.1615864783525467,121.33676147460938,120.7491683959961,21.300037384033203,23.06279754638672,18.50899887084961,20.12486267089844,335.7326354980469,60.96217346191406,-75.45599365234375,0.0,-9999,-9999,-9999,1.9669050328871784,1499.81640625,3528.979779411765,1.0128045082092283,60.815277099609375,79.76496124267578,82.11531066894531,80.94013595581055,1.2510710954666138,1.2510710954666138,2.2034912109375,5.184685202205882,0.0,-0.36724853515625,0.7237116098403931,0.1615864783525467,1.98729495047839,1.9680899558807257,1.9710149958280154,1.9675172567367554
629,629,629,629,629,2021年10月14日12时59分40秒,66.87477111816406,1503.4888916015625,-9999,-9999,1.2510710954666138,60.66838073730469,1.0167217254638672,82.40911102294922,80.20565795898438,15.23304557800293,15.23304557800293,0.7300771474838257,0.1615864783525467,121.33676147460938,121.04296875,21.59383010864257,23.356590270996094,18.655895233154297,20.12486267089844,335.8795471191406,60.96217346191406,-75.53433990478516,0.0,-9999,-9999,-9999,1.9669050328871784,1503.4888916015625,3537.620921415441,1.0167217254638672,60.66838073730469,80.20565795898438,82.40911102294922,81.3073844909668,1.2510710954666138,1.2510710954666138,3.6724853515625,8.641142003676471,0.0,0.36724853515625,0.7300771474838257,0.1615864783525467,1.9875277025683546,1.9672287803397708,1.9705517072531453,1.9677839279174805
630,630,630,630,630,2021年10月14日13时00分00秒,66.87477111816406,1499.0819091796875,-9999,-9999,1.2510710954666138,60.815277099609375,1.0171135663986206,82.40911102294922,80.20565795898438,15.290428161621094,15.194791793823242,0.7295874357223511,0.1615864783525467,121.33676147460938,121.33676147460938,21.300037384033203,23.356590270996094,18.949687957763672,20.12486267089844,335.7326354980469,61.25596618652344,-75.43640899658203,0.0,-9999,-9999,-9999,1.9669050328871784,1499.0819091796875,3527.2515510110293,1.0171135663986206,60.815277099609375,80.20565795898438,82.40911102294922,81.3073844909668,1.2510710954666138,1.2510710954666138,-4.406982421875,-10.369370404411764,0.0,0.0,0.7295874357223511,0.1615864783525467,1.9868072857778312,1.9661869343000986,1.9693214584957337,1.9665998220443726
631,631,631,631,631,2021年10月14日13时00分20秒,66.87477111816406,1501.2852783203125,-9999,-9999,1.2510710954666138,60.815277099609375,1.0167217254638672,82.40911102294922,80.20565795898438,15.366936683654783,15.271300315856934,0.7300771474838257,0.1615864783525467,120.7491683959961,121.48365783691406,21.59383010864257,23.06279754638672,18.949687957763672,20.12486267089844,334.7043762207031,61.25596618652344,-75.43640899658203,0.0,-9999,-9999,-9999,1.9669050328871784,1501.2852783203125,3532.4359489889707,1.0167217254638672,60.815277099609375,80.20565795898438,82.40911102294922,81.3073844909668,1.2510710954666138,1.2510710954666138,2.203369140625,5.184397977941177,0.0,0.0,0.7300771474838257,0.1615864783525467,1.987167626161217,1.9667079408917554,1.9698036644023253,1.9669373035430908
632,632,632,632,632,2021年10月14日13时00分40秒,66.8258056640625,1499.81640625,-9999,-9999,1.2498469352722168,60.815277099609375,1.0167217254638672,82.40911102294922,80.20565795898438,15.386063575744627,15.23304557800293,0.7300771474838257,0.1615864783525467,121.33676147460938,121.48365783691406,21.59383010864257,23.356590270996094,18.949687957763672,20.12486267089844,333.5291748046875,61.25596618652344,-75.45599365234375,0.0,-9999,-9999,-9999,1.9654648724724264,1499.81640625,3528.979779411765,1.0167217254638672,60.815277099609375,80.20565795898438,82.40911102294922,81.3073844909668,1.2498469352722168,1.2498469352722168,-1.4688720703125,-3.4561695772058822,-0.0014401604147518,0.0,0.7300771474838257,0.1615864783525467,1.9869274397104189,1.9663606378086942,1.96944441270415,1.9668073654174805
633,633,633,633,633,2021年10月14日13时01分00秒,66.8258056640625,1499.0819091796875,-9999,-9999,1.2510710954666138,60.66838073730469,1.0159382820129397,82.40911102294922,80.20565795898438,15.462573051452637,15.23304557800293,0.7276288270950317,0.1615864783525467,120.6022720336914,121.48365783691406,21.300037384033203,23.356590270996094,18.949687957763672,20.41865539550781,331.7664489746094,61.696659088134766,-75.49516296386719,0.0,-9999,-9999,-9999,1.9654648724724264,1499.0819091796875,3527.2515510110293,1.0159382820129397,60.66838073730469,80.20565795898438,82.40911102294922,81.3073844909668,1.2510710954666138,1.2510710954666138,-0.7344970703125,-1.7282284007352942,0.0,0.0,0.7276288270950317,0.1615864783525467,1.9868072857778312,1.9661869343000986,1.969586470764972,1.967193603515625
