,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_lh,polar_wtt,polar_shg,polar_nn
1419,1419,1419,1419,2021年11月25日16时53分00秒,63.91234970092773,949.6878662109376,14.202398300170898,642.77294921875,1.1574243307113647,59.052513122558594,1.0147632360458374,71.53874206542969,70.06977844238281,15.003520011901855,15.290428161621094,0.8882359862327576,0.2379728257656097,19.684171676635746,20.859346389770508,16.59933853149414,18.655895233154297,12.486227989196776,17.921409606933594,15.57106113433838,19.09658432006836,-79.9926528930664,0.0091810002923011,2.226710796356201,15.517196655273438,15.091198921203612,1.879774991203757,949.6878662109376,2234.5596852022063,1.0147632360458374,59.052513122558594,70.06977844238281,71.53874206542969,70.80426025390625,1.1574243307113647,1.1574243307113647,1.4689331054688637,3.456313189338503,0.0021601284251491,-0.1469001770019531,0.8882359862327576,0.2379728257656097,1.8850642562535191,1.8694869120364461,1.8736248432847638,1.8800866603851318
1420,1420,1420,1420,2021年11月25日16时53分20秒,63.88787078857422,951.8912963867188,14.279404640197754,642.8518676757812,1.1574243307113647,59.052513122558594,1.057461142539978,71.53874206542969,70.06977844238281,14.984393119812012,15.003520011901855,0.89509117603302,0.2379728257656097,19.39037704467773,20.859346389770508,16.59933853149414,18.36210060119629,12.486227989196776,17.921409606933594,15.86485481262207,19.09658432006836,-79.9926528930664,0.0091810002923011,2.226710796356201,15.441307067871094,15.110784530639648,1.87905502319336,951.8912963867188,2239.74422679228,1.057461142539978,59.052513122558594,70.06977844238281,71.53874206542969,70.80426025390625,1.1574243307113647,1.1574243307113647,2.2034301757811363,5.184541590073262,-0.0007199680103973,0.0,0.89509117603302,0.2379728257656097,1.885599212014823,1.8701137133539136,1.8742275250739069,1.8807129859924316
1421,1421,1421,1421,2021年11月25日16时53分40秒,63.91234970092773,946.7498779296876,14.22439956665039,642.9308471679688,1.1586486101150513,59.052513122558594,0.9403353929519652,71.53874206542969,70.06977844238281,14.793120384216309,15.883370399475098,0.9014567136764526,0.2374831736087799,19.83106803894043,20.859346389770508,16.59933853149414,18.36210060119629,12.486227989196776,17.921409606933594,15.86485481262207,19.24348258972168,-79.9926528930664,0.0091810002923011,2.2242624759674072,15.441307067871094,15.091198921203612,1.879774991203757,946.7498779296876,2227.646771599265,0.9403353929519652,59.052513122558594,70.06977844238281,71.53874206542969,70.80426025390625,1.1586486101150513,1.1586486101150513,-5.141418457031136,-12.097455193014438,0.0007199680103973,0.0,0.9014567136764526,0.2374831736087799,1.8843498506288392,1.8686502801576375,1.8728494073977844,1.879312515258789
1422,1422,1422,1422,2021年11月25日16时54分00秒,63.88787078857422,949.6878662109376,14.202398300170898,643.0098266601562,1.1574243307113647,59.052513122558594,1.008103847503662,71.53874206542969,69.62908935546875,15.32868194580078,14.984393119812012,0.902925670146942,0.2379728257656097,19.83106803894043,20.859346389770508,16.59933853149414,18.655895233154297,12.33933162689209,17.62761688232422,15.57106113433838,19.09658432006836,-79.9926528930664,0.0091810002923011,2.2242624759674072,15.289505004882812,15.091198921203612,1.87905502319336,949.6878662109376,2234.5596852022063,1.008103847503662,59.052513122558594,69.62908935546875,71.53874206542969,70.58391571044922,1.1574243307113647,1.1574243307113647,2.93798828125,6.912913602941177,-0.0007199680103973,-0.2203445434570312,0.902925670146942,0.2379728257656097,1.8852526983278852,1.8703190015776905,1.8743117217375644,1.8806133270263672
1423,1423,1423,1423,2021年11月25日16时54分20秒,63.88787078857422,949.6878662109376,14.235400199890137,643.0886840820312,1.1574243307113647,59.052513122558594,1.0159382820129397,71.53874206542969,70.06977844238281,14.716611862182615,15.67297077178955,0.9112498760223388,0.2379728257656097,19.83106803894043,20.859346389770508,16.59933853149414,18.36210060119629,12.780021667480469,17.921409606933594,15.86485481262207,19.09658432006836,-79.9926528930664,0.0091810002923011,2.2242624759674072,15.289505004882812,15.091198921203612,1.87905502319336,949.6878662109376,2234.5596852022063,1.0159382820129397,59.052513122558594,70.06977844238281,71.53874206542969,70.80426025390625,1.1574243307113647,1.1574243307113647,0.0,0.0,0.0,0.2203445434570312,0.9112498760223388,0.2379728257656097,1.8850642562535191,1.8694869120364461,1.8736248432847638,1.8800866603851318
1424,1424,1424,1424,2021年11月25日16时54分40秒,63.91234970092773,951.8912963867188,14.235400199890137,643.167724609375,1.1574243307113647,58.90562057495117,1.0225976705551147,71.53874206542969,70.06977844238281,15.979005813598633,15.003520011901855,0.9230015873908995,0.2472762912511825,19.83106803894043,20.859346389770508,16.59933853149414,18.655895233154297,12.33933162689209,17.62761688232422,15.86485481262207,19.09658432006836,-79.9926528930664,0.0091810002923011,2.2242624759674072,15.517196655273438,15.091198921203612,1.879774991203757,951.8912963867188,2239.74422679228,1.0225976705551147,58.90562057495117,70.06977844238281,71.53874206542969,70.80426025390625,1.1574243307113647,1.1574243307113647,2.2034301757811363,5.184541590073262,0.0007199680103973,0.0,0.9230015873908995,0.2472762912511825,1.885599212014823,1.8701137133539136,1.874405594260801,1.8809759616851807
1425,1425,1425,1425,2021年11月25日16时55分00秒,64.0102767944336,946.7498779296876,14.235400199890137,643.2545166015625,1.1574243307113647,58.90562057495117,0.982249915599823,71.24494934082031,69.77598571777344,14.793120384216309,15.653843879699709,0.9244705438613892,0.2477659434080124,19.39037704467773,20.859346389770508,16.59933853149414,18.655895233154297,12.780021667480469,17.921409606933594,15.86485481262207,19.24348258972168,-79.9926528930664,0.0091810002923011,2.226710796356201,15.137718200683594,15.091198921203612,1.8826551998362824,946.7498779296876,2227.646771599265,0.982249915599823,58.90562057495117,69.77598571777344,71.24494934082031,70.51046752929688,1.1574243307113647,1.1574243307113647,-5.141418457031136,-12.097455193014438,0.0028802086325254,-0.293792724609375,0.9244705438613892,0.2477659434080124,1.8846012304825521,1.8697584655154387,1.873912094006808,1.8802152872085571
1426,1426,1426,1426,2021年11月25日16时55分20秒,64.0102767944336,951.8912963867188,14.235400199890137,643.3257446289062,1.1574243307113647,58.90562057495117,1.0257314443588257,71.24494934082031,69.33528900146484,15.32868194580078,15.424318313598633,0.9269188642501832,0.2472762912511825,19.684171676635746,20.859346389770508,16.59933853149414,18.36210060119629,12.486227989196776,17.62761688232422,15.424164772033691,19.24348258972168,-79.9926528930664,0.0091810002923011,2.226710796356201,15.441307067871094,15.091198921203612,1.8826551998362824,951.8912963867188,2239.74422679228,1.0257314443588257,58.90562057495117,69.33528900146484,71.24494934082031,70.29011917114258,1.1574243307113647,1.1574243307113647,5.141418457031136,12.097455193014438,0.0,-0.2203483581542968,0.9269188642501832,0.2472762912511825,1.8860568116341945,1.8720517266991032,1.8760060148276438,1.8822078704833984
1427,1427,1427,1427,2021年11月25日16时55分40秒,63.9613151550293,948.2189331054688,14.202398300170898,643.4047241210938,1.1574243307113647,59.052513122558594,1.0527604818344116,71.09805297851562,69.33528900146484,15.003520011901855,15.481698989868164,0.938180923461914,0.2477659434080124,19.684171676635746,20.859346389770508,16.59933853149414,18.36210060119629,12.780021667480469,17.921409606933594,15.86485481262207,19.09658432006836,-79.9926528930664,0.0091810002923011,2.229159116744995,15.289505004882812,15.091198921203612,1.8812151516185087,948.2189331054688,2231.103372012868,1.0527604818344116,59.052513122558594,69.33528900146484,71.09805297851562,70.21667098999023,1.1574243307113647,1.1574243307113647,-3.67236328125,-8.640854779411764,-0.0014400482177734,-0.0734481811523437,0.938180923461914,0.2477659434080124,1.885229492602651,1.871280747717532,1.8750482388615959,1.8810558319091797
1428,1428,1428,1428,2021年11月25日16时56分00秒,64.0102767944336,948.2189331054688,14.235400199890137,643.4837036132812,1.1574243307113647,58.61182403564453,0.9422940611839294,71.09805297851562,69.62908935546875,15.386063575744627,15.940752029418944,0.9430775046348572,0.2472762912511825,19.83106803894043,20.859346389770508,16.452442169189453,18.36210060119629,12.780021667480469,17.62761688232422,15.57106113433838,19.09658432006836,-79.9926528930664,0.0091810002923011,2.2303831577301025,15.289505004882812,15.091198921203612,1.8826551998362824,948.2189331054688,2231.103372012868,0.9422940611839294,58.61182403564453,69.62908935546875,71.09805297851562,70.36357116699219,1.1574243307113647,1.1574243307113647,0.0,0.0,0.0014400482177734,0.1469001770019531,0.9430775046348572,0.2472762912511825,1.8850923492276317,1.8707296184943745,1.8751310278706204,1.8815128803253174
